log_id,user_id,fps_avg,memory_usage_mb,is_crash
fcceb7c9-22a0-4197-985a-0a9b00ca2f94,770c2f4a-7ec9-44e9-8e96-182dd1946fd8,40,585,0
a9024685-2e1c-4146-9724-791776cb105f,edcb2371-3f15-4a1a-bb80-14702ea72c15,59,200,0
07f9f562-517a-4362-9b90-17f67f2d33d2,80aa2fd7-f315-4661-b618-1d1cd338ddfe,37,827,0
a374134d-226a-4369-b3b1-f25c3dcad1e3,80aa2fd7-f315-4661-b618-1d1cd338ddfe,47,447,0
65b0b771-5a62-4aee-a67e-4ceacb79a650,80aa2fd7-f315-4661-b618-1d1cd338ddfe,32,222,0
b6926b85-84d9-4ed0-ad2f-b6f38a5acadb,473cebef-ab59-4047-95da-168f7eca225a,58,817,0
61ff5ef8-be6a-483e-b6fc-202e45303aad,473cebef-ab59-4047-95da-168f7eca225a,36,838,0
0bf44859-f39b-4c2a-9b73-5a7dfe4fdc1a,6db5f0c9-2cf8-452d-abb7-b6e8d84f05e4,44,211,0
62d44e42-a080-427f-9532-1083e5036480,6db5f0c9-2cf8-452d-abb7-b6e8d84f05e4,57,329,0
7de4c0bf-95d2-47ed-8700-1e370d75327e,a810c0e3-4218-461d-b686-7874da74173b,29,549,0
869c4081-b94f-4962-881a-87af40f081a5,ffbd7de9-c94c-4816-9198-57d33e6a6274,40,603,0
c5170355-49c6-41bc-bf00-057ecec8b89e,ffbd7de9-c94c-4816-9198-57d33e6a6274,45,859,0
f8cffa6b-eed6-4bf7-bbf6-85f96163766d,ffbd7de9-c94c-4816-9198-57d33e6a6274,27,810,0
7835c440-f7b4-4341-a557-3a48542b38f6,994445d9-b02f-4c0b-af55-b37602f483b1,32,507,0
98cb235e-b0da-46ae-b4b3-dff59b9cbec9,dd0aaa06-d0ee-4ced-bdbe-66cee5d47ec4,23,628,0
0898a0cd-27fb-45ac-b6f5-b87acee13064,dd0aaa06-d0ee-4ced-bdbe-66cee5d47ec4,21,317,0
64e6085f-7a76-4eb8-a119-fab23a8f6157,a1cfac2b-1d26-41d1-b1dc-3cf3b6efa4c3,48,415,0
411f969f-351d-419b-ad36-f7dbce44f706,0863f300-e450-4764-9a39-c8b41a5b909c,41,521,0
a4a28899-48db-4534-8c81-845d058779a5,0863f300-e450-4764-9a39-c8b41a5b909c,29,829,1
0777086b-2e47-4341-8d71-a8d15f7b3cd2,b8c02092-2acc-4720-98e2-2f4083fcaa63,25,406,0
8715c1ea-1dc5-45e6-86a1-638a30289b25,c72812ed-8dec-48d3-9ab3-97cf55344b63,24,388,0
d5de7c93-909e-493c-a2f0-da31a6bc4081,9eb6d9f6-c107-4fbd-b6d5-54a6459e2798,40,320,0
bcb323e5-a574-43df-bd97-7b240304bb92,b06defa2-ffbb-47e2-b5e2-8e04b9a5e103,57,576,0
2d03c4a9-70e5-4a8f-9401-3471ae4f62e6,83c59774-e94c-4d28-87b1-c9103e293c49,37,579,0
fd41eca4-8668-424e-b4e9-5decd499f1fd,83c59774-e94c-4d28-87b1-c9103e293c49,32,707,0
