event_id,session_id,user_id,event_name,level_id,score,fail_reason
f06748ff-9cc8-4a1c-bcd7-67a1e00ec29d,61020d20-4348-49bb-9009-cf2f3a8a7f30,770c2f4a-7ec9-44e9-8e96-182dd1946fd8,level_fail,2,0,Out of time
31494f05-1b26-4a0d-ab28-0cc92d0c8c59,bde60848-a069-4bed-86a3-f82e3a3707cf,edcb2371-3f15-4a1a-bb80-14702ea72c15,level_complete,8,800,
31e509a1-356d-4ef8-8689-fb5da9dfd593,f146c9cf-2691-466e-8c42-5e7424e8f215,80aa2fd7-f315-4661-b618-1d1cd338ddfe,level_fail,6,0,Out of time
1e11d4d6-7850-4471-b744-0f4032214bf0,f968de64-4a4b-4bdd-90e8-9e66b82ca2b5,80aa2fd7-f315-4661-b618-1d1cd338ddfe,level_fail,1,0,No lives left
aac3c366-64ec-46d5-b4dd-fcabe03d72e2,7bc4d312-885b-4659-a79d-8869e18cc943,80aa2fd7-f315-4661-b618-1d1cd338ddfe,level_complete,10,1000,
c7e66dba-487f-4e13-bd4d-d64b2866f8d5,3276f02c-112e-4242-99f7-31e8adbf816f,473cebef-ab59-4047-95da-168f7eca225a,level_complete,1,100,
642b0124-d877-4c9c-92e7-e89fa8648a6b,d5a06584-6440-4ae2-875b-451a39d89b3e,473cebef-ab59-4047-95da-168f7eca225a,level_fail,2,0,Out of time
e64cd167-4a81-451a-a238-530e3357c47f,39f23fa9-422c-45d7-bf5e-978fd850752b,6db5f0c9-2cf8-452d-abb7-b6e8d84f05e4,level_complete,1,100,
ab20ee60-9500-420d-b3da-1ead16c4e217,64aaffbf-7f4b-4611-a846-e455910830f1,6db5f0c9-2cf8-452d-abb7-b6e8d84f05e4,level_complete,10,1000,
f9889391-61a7-473e-82a8-4a44afb5c177,3a677159-d6d0-499c-8845-dd4a593f6872,a810c0e3-4218-461d-b686-7874da74173b,level_complete,8,800,
1680cad4-e544-4c51-95fb-720dfb7d7cf5,85e031ee-1103-499a-bd4a-b4e6d7052791,ffbd7de9-c94c-4816-9198-57d33e6a6274,level_complete,2,200,
84cf1475-c8e4-469b-8167-40d1eb48ffbd,35f7def6-13a1-4c57-ab2a-4b50f95d08bb,ffbd7de9-c94c-4816-9198-57d33e6a6274,level_complete,8,800,
f46e6d37-b9ab-487a-9962-bba8a0228d6c,07600606-ba7e-45cb-b448-21dd74098eaa,ffbd7de9-c94c-4816-9198-57d33e6a6274,level_complete,10,1000,
407bf862-f121-4172-8728-dd900eacbe44,e4e6bd2b-ae0a-4212-8dca-d4ecb96646ae,994445d9-b02f-4c0b-af55-b37602f483b1,level_fail,8,0,Out of time
b8d341a8-90f0-4b2a-bc39-693de1739cbd,ebc53bed-f406-46ab-a9f1-5a8bc71d4f94,dd0aaa06-d0ee-4ced-bdbe-66cee5d47ec4,level_complete,9,900,
d8f8d2ae-05ad-4b4e-b2cb-07c690cd42c7,57a24c12-a3a6-4d5d-bed0-f981eb6094dc,dd0aaa06-d0ee-4ced-bdbe-66cee5d47ec4,level_complete,6,600,
5f52126a-4c51-48e3-8b7a-ef0c0763ee64,4ac46281-e58d-4a5a-8327-b031f8de2a36,a1cfac2b-1d26-41d1-b1dc-3cf3b6efa4c3,level_complete,6,600,
4968a8f0-ed37-461c-8ae4-f8d42714452e,4f027715-363c-4994-9697-dc8bf455b0d8,0863f300-e450-4764-9a39-c8b41a5b909c,level_complete,5,500,
30b29b4e-273f-4135-9bc1-f3c53ab958b1,76c39cc9-89a9-4622-b4fc-e79a41035524,0863f300-e450-4764-9a39-c8b41a5b909c,level_complete,6,600,
f62823f3-69a2-427c-b862-0766c593ca5b,8c477730-a5da-4b7d-b394-f53c2aee9360,b8c02092-2acc-4720-98e2-2f4083fcaa63,level_complete,7,700,
efd94abb-c017-47dc-9071-e9def0edff61,2f4d6692-1c3e-4c80-bf11-a4acf5762368,c72812ed-8dec-48d3-9ab3-97cf55344b63,level_fail,4,0,No lives left
81e68742-ae3e-41e1-9c03-c02a8e31b40d,1c25525e-ed2a-46fe-afbf-e9841dd32f6f,9eb6d9f6-c107-4fbd-b6d5-54a6459e2798,level_fail,5,0,No lives left
9d382f74-7881-4546-969d-9d5b0e7fa0a1,4c9a078d-2f08-4bea-a1a0-24fc5d1b6241,b06defa2-ffbb-47e2-b5e2-8e04b9a5e103,level_complete,4,400,
bead8aca-1769-4b72-af19-03a90ed40df8,7c33a013-be4c-42aa-a8ea-613ab85d6fb3,83c59774-e94c-4d28-87b1-c9103e293c49,level_fail,5,0,No lives left
99978775-536c-4bc4-84aa-92dc1655e273,97235bf1-07a8-4730-a0d5-ca9177e51c56,83c59774-e94c-4d28-87b1-c9103e293c49,level_fail,5,0,Out of time
