user_id,install_date,country,platform,device_tier,media_source,campaign_id
770c2f4a-7ec9-44e9-8e96-182dd1946fd8,2025-11-01,ID,Android,Low-end,Organic,None
edcb2371-3f15-4a1a-bb80-14702ea72c15,2025-11-01,ID,iOS,Mid-range,Organic,None
80aa2fd7-f315-4661-b618-1d1cd338ddfe,2025-11-01,PH,Android,High-end,Organic,None
473cebef-ab59-4047-95da-168f7eca225a,2025-11-01,VN,iOS,Mid-range,TikTok,CAMP_384
6db5f0c9-2cf8-452d-abb7-b6e8d84f05e4,2025-11-01,US,iOS,Low-end,Organic,None
a810c0e3-4218-461d-b686-7874da74173b,2025-11-01,TH,Android,High-end,TikTok,CAMP_709
ffbd7de9-c94c-4816-9198-57d33e6a6274,2025-11-01,TH,Android,Low-end,TikTok,CAMP_734
994445d9-b02f-4c0b-af55-b37602f483b1,2025-11-01,VN,Android,Mid-range,Organic,None
dd0aaa06-d0ee-4ced-bdbe-66cee5d47ec4,2025-11-01,MY,Android,Low-end,TikTok,CAMP_363
a1cfac2b-1d26-41d1-b1dc-3cf3b6efa4c3,2025-11-01,VN,iOS,Low-end,Organic,None
0863f300-e450-4764-9a39-c8b41a5b909c,2025-11-01,PH,iOS,Low-end,TikTok,CAMP_460
b8c02092-2acc-4720-98e2-2f4083fcaa63,2025-11-01,VN,Android,Low-end,Facebook,CAMP_616
c72812ed-8dec-48d3-9ab3-97cf55344b63,2025-11-01,VN,Android,Low-end,TikTok,CAMP_107
9eb6d9f6-c107-4fbd-b6d5-54a6459e2798,2025-11-01,JP,iOS,Low-end,TikTok,CAMP_435
b06defa2-ffbb-47e2-b5e2-8e04b9a5e103,2025-11-01,VN,iOS,Mid-range,Facebook,CAMP_794
83c59774-e94c-4d28-87b1-c9103e293c49,2025-11-01,TH,iOS,High-end,Facebook,CAMP_531
c125d8f4-4051-415d-ac21-2f2abbc05497,2025-11-01,MY,Android,Low-end,TikTok,CAMP_117
d84368d2-8076-4cf8-95b7-e945bfdf2e3c,2025-11-01,ID,iOS,High-end,Organic,None
58fe979c-88a2-47a1-bcc1-4cf1d39608d7,2025-11-01,MY,iOS,High-end,Organic,None
e9cc88b1-470e-4c4c-bde4-87909a555463,2025-11-01,PH,iOS,Mid-range,TikTok,CAMP_249
16b62d0c-1cde-4176-b484-cdc633810b92,2025-11-01,ID,Android,Mid-range,Facebook,CAMP_680
70258de6-74e3-4ff4-8317-f746cffca4b7,2025-11-01,VN,iOS,High-end,Facebook,CAMP_535
0f8a2e98-51be-4fc0-a1c9-3be8190974d8,2025-11-01,ID,Android,High-end,TikTok,CAMP_571
18c824ea-d567-4c66-9603-360bccd3302a,2025-11-01,VN,iOS,Mid-range,Organic,None
