session_id,user_id,start_time,end_time,app_version
61020d20-4348-49bb-9009-cf2f3a8a7f30,770c2f4a-7ec9-44e9-8e96-182dd1946fd8,2025-11-01 17:00:00,2025-11-01 17:18:00,1.0.1
bde60848-a069-4bed-86a3-f82e3a3707cf,edcb2371-3f15-4a1a-bb80-14702ea72c15,2025-11-01 10:00:00,2025-11-01 10:06:00,1.0.2
f146c9cf-2691-466e-8c42-5e7424e8f215,80aa2fd7-f315-4661-b618-1d1cd338ddfe,2025-11-01 00:00:00,2025-11-01 00:11:00,1.1.0
f968de64-4a4b-4bdd-90e8-9e66b82ca2b5,80aa2fd7-f315-4661-b618-1d1cd338ddfe,2025-11-02 21:00:00,2025-11-02 21:16:00,1.1.0
7bc4d312-885b-4659-a79d-8869e18cc943,80aa2fd7-f315-4661-b618-1d1cd338ddfe,2025-11-04 08:00:00,2025-11-04 08:10:00,1.0.1
3276f02c-112e-4242-99f7-31e8adbf816f,473cebef-ab59-4047-95da-168f7eca225a,2025-11-01 01:00:00,2025-11-01 01:20:00,1.0.1
d5a06584-6440-4ae2-875b-451a39d89b3e,473cebef-ab59-4047-95da-168f7eca225a,2025-11-02 02:00:00,2025-11-02 02:09:00,1.1.0
39f23fa9-422c-45d7-bf5e-978fd850752b,6db5f0c9-2cf8-452d-abb7-b6e8d84f05e4,2025-11-01 14:00:00,2025-11-01 14:25:00,1.1.0
64aaffbf-7f4b-4611-a846-e455910830f1,6db5f0c9-2cf8-452d-abb7-b6e8d84f05e4,2025-11-02 02:00:00,2025-11-02 02:11:00,1.1.0
3a677159-d6d0-499c-8845-dd4a593f6872,a810c0e3-4218-461d-b686-7874da74173b,2025-11-01 16:00:00,2025-11-01 16:30:00,1.1.0
85e031ee-1103-499a-bd4a-b4e6d7052791,ffbd7de9-c94c-4816-9198-57d33e6a6274,2025-11-01 00:00:00,2025-11-01 00:11:00,1.1.0
