transaction_id,user_id,timestamp,rev_type,ad_format,amount_usd
fe20b170-3f7e-423d-a0d9-42b72c75d897,ffbd7de9-c94c-4816-9198-57d33e6a6274,2025-11-01 00:00:00,IAP,None,14.99
cf3f3952-5e19-4aa3-86f5-c3be476198fe,ffbd7de9-c94c-4816-9198-57d33e6a6274,2025-11-02 13:00:00,IAP,None,4.99
d1be7d2c-89b9-49a4-b7c1-651e85d0c494,ffbd7de9-c94c-4816-9198-57d33e6a6274,2025-11-04 07:00:00,IAP,None,14.99
5b027c64-3879-4fc2-94f3-92ff21188dac,83c59774-e94c-4d28-87b1-c9103e293c49,2025-11-02 04:00:00,IAP,None,0.99
ea8f74c7-5351-4600-9b62-cd99f90bb839,192d9b93-0955-4a35-9b6a-9cc084b1a35f,2025-11-01 21:00:00,IAP,None,0.99
7454db00-8495-42b0-8903-99d8404c2c30,9da42ecd-0a2c-424d-8b6c-204437c798bc,2025-11-01 07:00:00,IAP,None,14.99
120903e4-a79b-4d66-aad1-aa2d684cf81f,28d99a9b-37bd-424c-83de-94cb74e497e9,2025-11-01 18:00:00,IAP,None,14.99
f580c951-8088-40db-a5eb-ff055f117fbd,4b2ef73e-3991-4eca-9ed4-7791a7ec854a,2025-11-01 14:00:00,Ads,Banner,0.05
8b068596-1eae-4196-bcc6-0dd60c307e64,a8b47289-4b8f-4213-8fae-11180bf6d363,2025-11-01 05:00:00,IAP,None,0.99
ba670252-6924-461c-87f2-ddcde0b50d9e,f68a16f6-c644-40df-bf8e-a963363aa522,2025-11-01 05:00:00,IAP,None,4.99
ceb2da15-fd42-4f69-9c30-21f3d4d9336b,f68a16f6-c644-40df-bf8e-a963363aa522,2025-11-02 02:00:00,Ads,Banner,0.05
7411ef0c-fdcb-415f-a56a-0ec365d7bc5f,14d2bb75-f749-4d0b-ac27-a34d9adcffe9,2025-11-01 18:00:00,IAP,None,0.99
